Propriété;Contrainte;Entité;Type
id_authors;PRIMARY KEY;Authors;INT
firstname;NOT NULL;Authors;VARCHAR
lastname;NOT NULL;Authors;VARCHAR
country;NOT NULL;Authors;VARCHAR
date_of_birth;NOT NULL;Authors;DATE
"date_of_death	";NULL;Authors;DATE
Id_editors;PRIMARY KEY;Editors;INT
name;NOT NULL;Editors;VARCHAR
id_members;PRRIMARY KEY;Members;INT
"firstname	";NOT NULL;Members;VARCHAR
"lastname	";NOT NULL;Members;VARCHAR
email;NOT NULL;Members;VARCHAR
"date_of_birth	";NOT NULL;Members;DATE
"registered	";NOT NULL, DEFAULT FALSE;Members;BOOLEAN
id_books;PRIMARY KEY;Books;INT
title;NOT NULL;Books;VARCHAR
year;NOT NULL;Books;INT
author_id;FOREIGN KEY, NOT NULL;Books;INT
isbn;PRIMARY KEY;Book_editions;VARCHAR
book_id;FOREIGN KEY, NOT NULL;Book_editions;INT
"editor_id	";FOREIGN KEY, NOT NULL;Book_editions;INT
publication_date;NOT NULL;Book_editions;DATE
id_loans;PRIMARY KEY;Loans;INT
"book_edition_isbn	";FOREIGN KEY, NOT NULL;Loans;VARCHAR
member_id;FOREIGN KEY, NOT NULL;Loans;INT
loan_date;NOT NULL;Loans;DATE
"return_date	";NOT NULL;Loans;DATE
"is_returned	";NOT NULL, DEFAULT FALSE;Loans;BOOLEAN
